Stat,Sheet,Formula,Notes
PPG bench,player_year / player_all_time,Mean points in the player's BENCHED weeks.,Blank if he never benched that period.
Adjusted PPG starter,player_year / player_all_time,PPG starter counting only played weeks (bye/injury/suspension dropped).,Blank if he never started.
Adjusted PPG bench,player_year / player_all_time,PPG bench counting only played weeks (bye/injury/suspension dropped).,Blank if he never benched.
PPG starter vs bench diff,player_year / player_all_time,How much better the player scored when started vs benched. PPG starter − PPG bench.,Blank when he never started or never benched.
Number of teams,player_year / player_all_time,How many different managers rostered the player during the season / career.,"Counts every team that held him at any point, even partial weeks."
Weeks as starter,player_year / player_all_time,Count of weeks the player was a starter over the period.,
Win % as starter,player_year / player_all_time,Win % of the fantasy teams over the weeks the player STARTED (a tie counts as half a win). Wins in those weeks ÷ started weeks with a result.,Requires at least 5 started weeks with a result in the period; N/A below that (avoids noisy small-sample rates).
Win % while rostered,player_year / player_all_time,Win % of the fantasy teams over every week the player was ROSTERED (starter or bench; a tie counts as half a win). Wins ÷ rostered weeks with a result.,Requires at least 5 rostered weeks with a result in the period; N/A below that (avoids noisy small-sample rates).
Rostered by champion?,player_year,Season-champion membership flags. The champion is that season's Final winner. 'Rostered by champion?' = on the champion's roster at any point; 'Started by champion?' = started by the champion in any week; 'Started in championship game?' = started for the champion in the Final.,Booleans on player_year; the player_all_time versions ('Championships rostered by / started by / started in') count how many distinct title seasons each applied to.
Championships rostered by,player_all_time,Career counts of league titles the player was part of: 'rostered by' = # champion rosters he was on; 'started by' = # champions that started him in a week; 'started in' = # championship games (Finals) he started in.,Counts of distinct title seasons; the per-season booleans are on player_year ('Rostered by champion?' etc.).
Weeks missed due to injury,player_year / player_all_time,"Count of weeks the player was rostered, scored 0, and was flagged injured.",League sheets carry the league-wide total.
Weeks missed due to suspension,player_year / player_all_time,"Count of weeks the player was rostered, scored 0, and was flagged suspended.",League sheets carry the league-wide total.
Change in points from previous season,player_year,This season's full-season total points minus last season's.,Blank for a rookie year / no prior season.
Change in avg points from previous season,player_year,This season's full-season avg points minus last season's.,Blank with no prior season.
Change in points from career,player_year,This season's full-season total points minus the player's career baseline.,Blank with no career baseline yet.
Change in avg points from career,player_year,Whether the player is above or below his career rate this season. This season's per-game avg (full NFL season) minus his prior-career per-game avg.,From nflverse (every active NFL week). Blank with no career baseline or a season under 2 games (too small to compare an average).
Taxi-eligible,player_all_time,TRUE if the player can be stashed on a taxi/practice squad: he's in his FIRST LOTG season AND has never started a LOTG week.,Resets at week 1 of his second season. A never-started vet from an earlier season is NOT eligible — only current-season newcomers who haven't started.
PF,team_week,"The team's starting-lineup points (points for) that week. In the Semifinal week the higher seed in each matchup gets +5 homefield, so its PF = Σ starters + 5.",Rolls up to season/all-time totals and averages; drives standings and Luck.
Points against,team_week / team_year / team_all_time,The opponent's PF that week — points scored against this team.,Drives Margin and Differential.
Max PF,team_week / team_year / team_all_time / league_week / league_year / league_all_time,The team's best-possible lineup score that week from its rostered players.,Used for Efficiency and the optimal-lineup metrics.
Margin,team_week,How much the team won or lost by. PF − Points against (positive = won).,Summed over the period = Differential.
Win?,team_week,"True for a win, False for a loss.","Feeds Win % and Record, which count every game (regular season + playoff/toilet brackets). A tie counts as half a win; none yet."
Efficiency,team_week / team_year / team_all_time / league_week / league_year / league_all_time,How close the team came to its best-possible lineup. PF / Max PF.,≤ 1; drives the Most/Least efficient awards.
Brosenzweig,team_week,The most unlucky loss: TRUE when the team LOST while being the 2nd-highest scorer of the week (only the top scorer beat it). A league in-joke.,Feeds the Luck model.
Sisenzweig,team_week,The luckiest win: TRUE when the team WON while being the 2nd-lowest scorer of the week (only the bottom scorer scored less). A league in-joke.,Feeds the Luck model.
Times Brosenzweig,team_year / team_all_time,Season / career count of the team's Brosenzweig weeks (unlucky 2nd-highest-scorer losses).,
Times Sisenzweig,team_year / team_all_time,Season / career count of the team's Sisenzweig weeks (lucky 2nd-lowest-scorer wins).,
Highest score?,team_week,TRUE for the team with the highest PF that week.,Ties shared. Count is 'Times Highest score?'.
Times Highest score?,team_year / team_all_time,Season / career count of weeks the team had the highest PF.,
Lowest score?,team_week,TRUE for the team with the lowest PF that week.,Ties shared. Count is 'Times Lowest score?'.
Times Lowest score?,team_year / team_all_time,Season / career count of weeks the team had the lowest PF.,
Narrowest victory?,team_week,TRUE for the team that won by the smallest margin that week.,Ties shared. Count is 'Times Narrowest victory?'.
Times Narrowest victory?,team_year / team_all_time,Season / career count of weeks the team won by the smallest margin.,
Largest blowout?,team_week,TRUE for the team that won by the largest margin that week.,Ties shared. Count is 'Times Largest blowout?'.
Times Largest blowout?,team_year / team_all_time,Season / career count of weeks the team won by the largest margin.,
Most efficient?,team_week,TRUE for the team with the highest Efficiency (PF / Max PF) that week.,Ties shared. Count is 'Times Most efficient?'.
Times Most efficient?,team_year / team_all_time,Season / career count of weeks the team had the highest Efficiency.,
Least efficient?,team_week,TRUE for the team with the lowest Efficiency that week.,Ties shared. Count is 'Times Least efficient?'.
Times Least efficient?,team_year / team_all_time,Season / career count of weeks the team had the lowest Efficiency.,
Top half of league?,team_week,TRUE for a team with PF at or above the week's median.,Ties shared. Count is 'Times Top half of league?'.
Times Top half of league?,team_year / team_all_time,Season / career count of weeks the team was at or above the week's median PF.,
Increase in points from previous week,team_week / league_week / league_year,PF minus last week's PF (Week 1 compares to last season's final week).,Rolls up to season averages.
Roster turnover from previous week,team_week,"How many roster spots changed vs last week. max(this week's roster size, last week's) − players on both.",Counts each swap once (not drop + add). Averages to 'Average weekly roster turnover'.
Starter turnover from previous week,team_week / league_week,"How many starting spots changed vs last week. max(this week's starters, last week's) − starters on both.",Counts each swap once. Averages to 'Average weekly starter turnover'.
Difference in pregame avg max PF from opponent,team_week,Pregame talent gap on paper. The team's trailing average Max PF minus the opponent's.,Positive = the stronger recent roster.
Number of Injuries,team_week / league_week,Count of the team's injured players (starters + bench) that week.,League/year/all-time carry the rolled-up versions.
Number of suspensions,team_week / league_week,Count of the team's suspended players that week.,
Number of players on bye,team_week / league_week,Count of the team's players whose NFL team was on bye that week.,Byes are excluded from Hardship.
Number of starter injuries,team_week,Count of the team's would-be-STARTERS who were injured that week.,Feeds Starter-adjusted Hardship and Loss from hardship?.
Number of starter suspensions,team_week,Count of the team's would-be-STARTERS who were suspended that week.,Feeds Starter-adjusted Hardship.
Starter-adjusted Hardship,team_week / team_year / team_all_time / league_week,"Points lost from injured/suspended would-be-starters, each weighted by how likely he was to start. The start-weighted version of Hardship.",Byes excluded. Drives the hardship-loss counterfactual.
Luck,team_week / team_year,"How lucky or unlucky the team's result was, given how it and its opponent played — rewards unlucky losses / strong-but-beaten weeks, penalizes lucky wins. Gated by win/loss, with opponent- and own-strength, closeness, efficiency, and a hardship-loss penalty. team_year Luck = sum of weekly Luck.",Each loss-from-hardship week subtracts 0.25; calibrated so winning to talent nets ≈ 0. Full weighting in plan/LUCK_REWORK.md.
Win %,team_year,Win rate over ALL games that season — regular season plus playoff/toilet-bracket games. (wins + ½·ties) / games.,"0–1 fraction. 16 games in completed 2020, 17 in each completed 2021+ season."
Record,team_year,The team's 'W-L' across ALL games that season — regular season plus playoff/toilet brackets.,Text companion to Win %.
All time record,team_all_time,"The team's 'W-L' across every season (all games, incl. both brackets).",
All time win %,team_all_time,"The team's win rate across every season (all games, incl. both brackets).",0–1 fraction.
Regular season record,team_year / team_all_time,"The team's 'W-L' in REGULAR-SEASON games only (the 'Week N' matchups; brackets excluded). Per season, or pooled all-time.",The standings record. Plain 'Record' includes the brackets.
Regular season win %,team_year / team_all_time,Win rate over regular-season games only. (wins + ½·ties) / regular-season games.,Blank with no regular-season games yet (e.g. an in-progress season).
Playoff record,team_all_time,The team's all-time 'W-L' in championship-path games (Semifinal + Final). The 3rd-place game is separate.,'0-0' for a team that never reached the winners' bracket.
Playoff win %,team_all_time,"Win rate in championship-path games (Semifinal + Final), all-time. 3rd-place game excluded.",Blank for a team that never reached the winners' bracket.
Toilet bowl record,team_all_time,The team's all-time 'W-L' in the losers'-bracket games that crown the toilet champion (Toilet Semis + Toilet Final). The toilet-losers game is separate.,'0-0' for a team that never landed in the toilet bracket.
Toilet bowl win %,team_all_time,"Win rate in Toilet Semis + Final games, all-time. Toilet-losers game excluded.",Blank for a team that never reached the toilet bracket.
Third place game record,team_all_time,The team's all-time 'W-L' in the 3rd-place game (the two Semifinal losers). Small sample by design.,'0-0' if never played. Kept separate from Playoff record.
Toilet losers game record,team_all_time,The team's all-time 'W-L' in the toilet-losers game (the two Toilet-Semis losers play to avoid last place). Small sample by design.,'0-0' if never played. Kept separate from Toilet bowl record.
Differential,team_year / team_all_time,Total points scored minus allowed over the period. Σ Margin.,Per season; all-time sums across seasons.
Avg differential,team_year / team_all_time,Average margin per game. Differential / games.,
Record vs playoff teams,team_year / team_all_time,The team's 'W-L' in games vs that season's top-4 playoff seeds. All-time pools each season's seeds.,Blank for an in-progress season (classes unknown until it ends).
Win % vs playoff teams,team_year / team_all_time,Win rate in games vs that season's top-4 playoff seeds.,Blank for an in-progress season.
Record vs non-playoff teams,team_year / team_all_time,The team's 'W-L' in games vs that season's non-playoff teams. All-time pools each season's classes.,Blank for an in-progress season.
Win % vs non-playoff teams,team_year / team_all_time,Win rate in games vs that season's non-playoff teams.,Blank for an in-progress season.
Record vs champion,team_year,The team's 'W-L' in games vs that season's champion.,Blank for an in-progress season.
Win % vs champion,team_year,Win rate in games vs that season's champion.,Blank for an in-progress season.
Record vs champions,team_all_time,"The team's all-time 'W-L' vs the champions, pooling each season's champion.",Blank for an in-progress season.
Win % vs champions,team_all_time,"Win rate vs the champions, all-time (pooling each season's champion).",Blank for an in-progress season.
Record vs last place,team_year / team_all_time,The team's 'W-L' in games vs that season's last-place team. All-time pools each season's classes.,Blank for an in-progress season.
Win % vs last place,team_year / team_all_time,Win rate in games vs that season's last-place team.,Blank for an in-progress season.
Result,team_year,"The team's final finish that season — Champion / 2nd / 3rd / 4th from the winners' bracket, then 5th–8th for the non-playoff teams by record (PF tiebreaker).",Blank for an in-progress season. 2020–2024 finish folds in the toilet bracket (league rule then); 2025+ uses the regular season only. May disagree with the always-regular-season last-place stats.
Week of playoff elimination,team_year,The regular-season week the team was mathematically out of the top-4 race — the first week 4 other teams can't be caught even if it wins out. 0 for the 4 teams that made the bracket.,Blank for an in-progress season. Regular-season weeks only.
Championships,team_all_time,Career count of league titles won.,In-progress seasons not counted.
Number of playoff appearances,team_all_time,Number of seasons the team made the top-4 playoff bracket.,In-progress seasons not counted.
Number of championship appearances,team_all_time,Number of seasons the team reached the Final (champion or runner-up).,In-progress seasons not counted.
Number of last place finishes,team_all_time,Number of seasons the team finished last.,In-progress seasons not counted.
Average weekly roster turnover,team_year / team_all_time,Mean week-over-week roster turnover over the period.,"All-time = per-season average, not a sum."
Average weekly starter turnover,team_year / team_all_time,Mean week-over-week starting-lineup turnover.,All-time = per-season average.
Inseason roster turnover,team_year / team_all_time / league_year,How much a team churned its full roster during the season. Players who left PLUS players who arrived between the Week-1 and championship-week rosters.,"Each swap counts as 2 (a drop and an add), so a full rebuild can top 40. Per season; all-time averages."
Inseason starter turnover,team_year / team_all_time / league_year,How much a team churned its starting lineup during the season. Starters dropped PLUS starters added between the Week-1 and championship-week lineups.,Each swap counts as 2. Per season.
Offseason roster turnover,team_year / team_all_time / league_year,How much a team reshaped its full roster over the offseason. Players who left PLUS players who arrived between last season's championship-week roster and this season's Week-1 roster.,"Each swap counts as 2, so a near-total rebuild can top 40. Per season; all-time averages."
Offseason starter turnover,team_year / team_all_time / league_year,How much a team reshaped its starting lineup over the offseason. Starters dropped PLUS starters added between last season's final lineup and this season's Week-1 starters.,Each swap counts as 2. Per season.
Draft Value,team_year / team_all_time,"How much draft capital a team used that season. Σ pick-slot value of the picks it made, on a 1/(slot+1)-style curve (earlier picks worth more).",Rookie-draft picks only. Excludes the 2020 startup and 2021 vet drafts.
Number of first round picks made,team_year / team_all_time,Count of first-round picks the team made that season.,Rookie-draft picks only. Excludes the 2020 startup and 2021 vet drafts.
Total number of picks made,team_year / team_all_time,Count of all picks the team made that season.,Rookie-draft picks only. Excludes the 2020 startup and 2021 vet drafts.
3-year roster retention rate,team_year / team_all_time,"How sticky a team's roster is: of the players on its Week-1 roster in year Y, the fraction still on its Week-1 roster in year Y+3. |roster_Y ∩ roster_Y+3| / |roster_Y|.","Blank until the Y+3 season is played (2020→2023, 2021→2024, 2022→2025 so far). A player re-acquired by Y+3 week 1 still counts. All-time averages a team's measurable years."
Future draft capital,team_week / team_year / team_all_time,Value of the picks the team currently holds for the next 3 years. Own retained + acquired − traded away.,team_week updates on each trade; team_year uses the season-end snapshot.
Amount of FAAB spent,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Total winning waiver bids over the period.,League sheets carry the league-wide total.
Change in win % from previous season,team_year,This season's Win % minus last season's.,Blank for a team's first season.
Avg yearly luck,team_all_time,"Mean of the team's season Luck totals, all-time.",League sheets carry the league-wide version.
Avg PF,league_year / league_all_time,Average points-for per game over the period.,League sheets = league-wide average.
Avg max PF,team_year / team_all_time / league_year / league_all_time,Average Max PF per game over the period.,League sheets = league-wide average.
Avg points against,team_year / team_all_time,Average points allowed per game over the period.,League sheets = league-wide average.
Avg margin,league_week / league_year / league_all_time,Average game margin over the period.,League sheets = league-wide average.
Weeks of injuries,team_year / team_all_time,Season / career total of the team's injured player-weeks.,
Weeks of starter injuries,team_year / team_all_time,Season / career total of the team's would-be-STARTER injured player-weeks.,
Weeks of starter suspensions,team_year / team_all_time,Season / career total of the team's would-be-STARTER suspended player-weeks.,
Weeks suspensions,team_year / team_all_time,Season / career total of the team's suspended player-weeks.,
Number of weeks missed due to injury,league_year / league_all_time,League-wide total injured player-weeks over the period.,League companion to the team 'Weeks of injuries'.
Number of weeks missed due to suspensions,league_year / league_all_time,League-wide total suspended player-weeks over the period.,League companion to 'Weeks suspensions'.
Number of QB started,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of QBs the team started that week.,Year/all-time count DISTINCT players; league sheets are league-wide.
Number of QB rostered,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of QBs the team rostered that week.,Year/all-time count DISTINCT players; league sheets are league-wide.
Number of RB started,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of RBs the team started that week.,Year/all-time count DISTINCT players; league sheets are league-wide.
Number of RB rostered,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of RBs the team rostered that week.,Year/all-time count DISTINCT players; league sheets are league-wide.
Number of WR started,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of WRs the team started that week.,Year/all-time count DISTINCT players; league sheets are league-wide.
Number of WR rostered,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of WRs the team rostered that week.,Year/all-time count DISTINCT players; league sheets are league-wide.
Number of TE started,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of TEs the team started that week.,Year/all-time count DISTINCT players; league sheets are league-wide.
Number of TE rostered,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of TEs the team rostered that week.,Year/all-time count DISTINCT players; league sheets are league-wide.
Stacks,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of started QB × started position-player (RB/WR/TE) pairs from the same NFL team that week. A QB started with a WR and TE from his NFL team = 2 stacks.,Counting stat — year/all-time sum across weeks; league sheets sum across every team-week. Free-agent/unrostered players (the 'NFL' team sentinel) are excluded.
Most number of players started from same NFL team,team_week / team_year / team_all_time / league_week / league_year / league_all_time,The largest group of the team's started players that share one NFL team that week.,Year/all-time take the max over the period; league sheets carry the league-wide max.
Most number of players rostered from same NFL team,team_week / team_year / team_all_time / league_week / league_year / league_all_time,The largest group of the team's rostered players that share one NFL team that week.,Year/all-time take the max over the period; league sheets carry the league-wide max.
Most number of QBs started from same NFL team,team_week / team_year / team_all_time / league_week / league_year / league_all_time,The largest group of the team's started QBs that share one NFL team that week.,Year/all-time take the max over the period; league sheets carry the league-wide max.
Most number of QBs rostered from same NFL team,team_week / team_year / team_all_time / league_week / league_year / league_all_time,The largest group of the team's rostered QBs that share one NFL team that week.,Year/all-time take the max over the period; league sheets carry the league-wide max.
Most number of RBs started from same NFL team,team_week / team_year / team_all_time / league_week / league_year / league_all_time,The largest group of the team's started RBs that share one NFL team that week.,Year/all-time take the max over the period; league sheets carry the league-wide max.
Most number of RBs rostered from same NFL team,team_week / team_year / team_all_time / league_week / league_year / league_all_time,The largest group of the team's rostered RBs that share one NFL team that week.,Year/all-time take the max over the period; league sheets carry the league-wide max.
Most number of WR started from same NFL team,team_week / team_year / team_all_time / league_week / league_year / league_all_time,The largest group of the team's started WR that share one NFL team that week.,Year/all-time take the max over the period; league sheets carry the league-wide max.
Most number of WR rostered from same NFL team,team_week / team_year / team_all_time / league_week / league_year / league_all_time,The largest group of the team's rostered WR that share one NFL team that week.,Year/all-time take the max over the period; league sheets carry the league-wide max.
Most number of TE started from same NFL team,team_week / team_year / team_all_time / league_week / league_year / league_all_time,The largest group of the team's started TE that share one NFL team that week.,Year/all-time take the max over the period; league sheets carry the league-wide max.
Most number of TE rostered from same NFL team,team_week / team_year / team_all_time / league_week / league_year / league_all_time,The largest group of the team's rostered TE that share one NFL team that week.,Year/all-time take the max over the period; league sheets carry the league-wide max.
Number of NFL teams among starting players,team_week / team_year / team_all_time / league_week / league_year / league_all_time,How many distinct NFL teams the team's starting players represented that week.,Year/all-time = distinct NFL teams over the period; league sheets = league-wide distinct count.
Number of NFL teams among rostered players,team_week / team_year / team_all_time / league_week / league_year / league_all_time,How many distinct NFL teams the team's rostered players represented that week.,Year/all-time = distinct NFL teams over the period; league sheets = league-wide distinct count.
Number of rookies started,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of rookies the team started that week.,Year/all-time count DISTINCT players; league sheets are league-wide.
Number of rookies rostered,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of rookies the team rostered that week.,Year/all-time count DISTINCT players; league sheets are league-wide.
Number of cuffs rostered,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of handcuffs (cuffs) the team rostered that week.,Year/all-time count DISTINCT players; league sheets are league-wide.
Number of cuffs started,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of handcuffs (cuffs) the team started that week.,Year/all-time count DISTINCT players; league sheets are league-wide.
Number of donuts,team_week / team_year / team_all_time / league_week / league_year / league_all_time,"Count of the team's rostered players who scored exactly 0 (a 'donut') that week — every starter who scored 0, plus bench players who actually played and scored 0.","A benched bye / injury / suspension week is an absence, not a donut, and is excluded; a starter's 0 always counts (you fielded them). Week = per-week count; year/all-time = sums over the period."
Number of starter donuts,team_week / team_year / team_all_time,Count of the team's starters who scored exactly 0 that week.,"Every started 0 counts — you fielded them, so bye / injury / suspension is not excluded. Week = per-week count; year/all-time = sums over the period."
Number of players under 10,team_week / team_year / team_all_time / league_week / league_year / league_all_time,"Count of the team's rostered players who scored under 10 that week — every starter under 10, plus bench players who actually played and scored under 10.","A benched bye / injury / suspension 0 is an absence, not a real low score, and is excluded; a starter's low score always counts. Week = per-week count; year/all-time = sums over the period."
Number of starters under 10,team_week / team_year / team_all_time,Count of the team's starters who scored under 10 that week.,Every started low score counts — bye / injury / suspension is not excluded. Week = per-week count; year/all-time = sums over the period.
Number of players over 20,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of the team's players who scored over 20 that week.,Week = per-week count; year/all-time = sums over the period.
Number of starters over 20,team_week / team_year / team_all_time,Count of the team's starters who scored over 20 that week.,Week = per-week count; year/all-time = sums over the period.
Number of players over 30,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of the team's players who scored over 30 that week.,Week = per-week count; year/all-time = sums over the period.
Number of starters over 30,team_week / team_year / team_all_time,Count of the team's starters who scored over 30 that week.,Week = per-week count; year/all-time = sums over the period.
Number of players over 40,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of the team's players who scored over 40 that week.,Week = per-week count; year/all-time = sums over the period.
Number of starters over 40,team_week / team_year / team_all_time,Count of the team's starters who scored over 40 that week.,Week = per-week count; year/all-time = sums over the period.
Number of players over 50,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of the team's players who scored over 50 that week.,Week = per-week count; year/all-time = sums over the period.
Number of starters over 50,team_week / team_year / team_all_time,Count of the team's starters who scored over 50 that week.,Week = per-week count; year/all-time = sums over the period.
Difference between highest and lowest starters,team_week / team_year / team_all_time / league_week / league_year / league_all_time,The team's top starter score minus its bottom starter score that week.,Week = per-week spread; year/all-time roll up.
Player average age,team_week / team_year / team_all_time / league_week / league_year / league_all_time,"Mean age of the team's rostered players that week (year/all-time = mean of the weekly averages, ≈ mid-season).","Age anchored to the week, not today. League sheets = league-wide average."
Startup draft players remaining,team_week / team_year / team_all_time / league_week / league_year / league_all_time,How many of the players the team took in the inaugural 2020 startup draft it still rosters at that point.,"Keyed off each pick's drafted player. Startup picks weren't tradeable, so the drafter is the pick's Original Team."
% of players drafted,team_week / team_year / team_all_time / league_week / league_year / league_all_time,"Of the players a team rosters, the share it drafted itself and has held ever since (startup, rookie, or vet draft). 100 × (drafted players, on their original stint) / (rostered players). team_week = that week; team_year = season-end roster; team_all_time = every player ever rostered.",A drafted player re-acquired after being cut/traded no longer counts (only the tenure that began at the draft). Waiver/FA adds and un-re-drafted ESPN-era players count in the denominator only. League sheets pool every team.
% of 3rd year+ players drafted,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Same as '% of players drafted' but only for players in their 3rd NFL season or later (NFL season − rookie season ≥ 2). 100 × drafted 3rd-year+ / rostered 3rd-year+.,Rookie season = Sleeper draft_year (else current − years_exp). N/A with no 3rd-year+ players.
PF,league_week / league_year / league_all_time,Total points scored league-wide that week (sum of every team's PF).,Year/all-time aggregate the weekly totals.
PF Range,league_week / league_year / league_all_time,The spread of team scores that week. Highest team PF − lowest team PF.,Year/all-time aggregate.
Margin range,league_week / league_year / league_all_time,How lopsided the week's slate was. Largest game margin − smallest game margin.,
Number of games within 5,league_week / league_year / league_all_time,Count of games decided by 5 points or fewer.,Year/all-time sum.
Number of games within 10,league_week / league_year / league_all_time,Count of games decided by 10 points or fewer.,Year/all-time sum.
(smallest) Playoff tiebreaker,league_year,How close the seeding race came to flipping on the PF tiebreaker. The smallest regular-season PF gap between two teams who finished adjacent with the same record (so PF decided the seed).,Standings rank by record then regular-season PF. Blank if no two teams shared a record.
Team's traded with 1,trades,The deal's first counterparty — the team this team traded with. Links to that team's row of the same trade.,"A 2-team swap fills only this; a multi-team trade also fills 'Team's traded with 2', etc."
Team's traded with 2,trades,The deal's second counterparty (only on a 3+ team trade); links to that team's row of the same trade.,"Blank for a 2-team swap. One column per extra counterparty, so each can be its own link."
Player Picked,picks,The player the pick was used on.,Blank / 'Unknown' for an unmade pick. Hyperlink target.
KTC on draft day,picks,The drafted player's dynasty trade value on draft day (≈ Aug 28). KeepTradeCut superflex value.,Blank for an unmade pick or a date before the player's KTC history.
KTC at end of rookie year,picks,The drafted player's KTC superflex value at the end of his rookie season (≈ Feb 1 after the draft).,Blank for an unmade pick or a pre-history date.
KTC 1 year after draft day,picks,The drafted player's KTC superflex value one year after draft day.,Blank for an unmade pick or a still-future checkpoint.
KTC 2 years after draft day,picks,The drafted player's KTC superflex value two years after draft day.,Blank for an unmade pick or a still-future checkpoint.
KTC 3 years after draft day,picks,The drafted player's KTC superflex value three years after draft day.,Blank for an unmade pick or a still-future checkpoint.
KTC 4 years after draft day,picks,The drafted player's KTC superflex value four years after draft day.,Blank for an unmade pick or a still-future checkpoint.
Pick-adjusted Difference in Player addition value,picks,Did the pick beat what its draft slot usually returns? Its Player addition value − the average for that slot's comparison set. Positive = beat the slot.,Slot baseline = the 3-pick window around it + a 4th outer pick (from 1.05 on); 1.01–1.04 use the pooled mean.
Pick-adjusted Difference in Avg PPG on team adjusted by position,picks,Whether the pick out-produced its draft slot on the drafting team. Its Avg PPG on team adjusted by position − the slot's average. Positive = beat the slot.,Slot baseline = the 3-pick window around it + a 4th outer pick (from 1.05 on); 1.01–1.04 use the pooled mean.
Pick-adjusted Difference in Avg career PPG adjusted by position,picks,Whether the player's whole-career production beat his draft slot. His Avg career PPG adjusted by position − the slot's average. Positive = beat the slot.,Slot baseline = the 3-pick window around it + a 4th outer pick (from 1.05 on); 1.01–1.04 use the pooled mean.
Pick-adjusted Difference in Avg points added adjusted by position,picks,Whether the pick's started-week output beat its draft slot. Its Avg points added adjusted by position − the slot's average. Positive = beat the slot.,Slot baseline = the 3-pick window around it + a 4th outer pick (from 1.05 on); 1.01–1.04 use the pooled mean.
Pick-adjusted Difference in KTC on draft day,picks,Whether the player was valued above his draft slot's norm at the draft. His KTC on draft day − the slot's average. Positive = above expectation.,Slot baseline = the 3-pick window around it + a 4th outer pick (from 1.05 on); 1.01–1.04 use the pooled mean.
Pick-adjusted Difference in KTC at end of rookie year,picks,Whether the player beat his draft slot one rookie season in. His KTC at end of rookie year − the slot's average. Positive = above expectation.,Slot baseline = the 3-pick window around it + a 4th outer pick (from 1.05 on); 1.01–1.04 use the pooled mean.
Pick-adjusted Difference in KTC 1 year after draft day,picks,His KTC 1 year after draft day − the slot's average at that checkpoint. Positive = above slot expectation a year out.,Slot baseline = the 3-pick window around it + a 4th outer pick (from 1.05 on); 1.01–1.04 use the pooled mean.
Pick-adjusted Difference in KTC 2 years after draft day,picks,His KTC 2 years after draft day − the slot's average at that checkpoint. Positive = above slot expectation two years out.,Slot baseline = the 3-pick window around it + a 4th outer pick (from 1.05 on); 1.01–1.04 use the pooled mean.
Pick-adjusted Difference in KTC 3 years after draft day,picks,His KTC 3 years after draft day − the slot's average at that checkpoint. Positive = above slot expectation three years out.,Slot baseline = the 3-pick window around it + a 4th outer pick (from 1.05 on); 1.01–1.04 use the pooled mean.
Pick-adjusted Difference in KTC 4 years after draft day,picks,His KTC 4 years after draft day − the slot's average at that checkpoint. Positive = above slot expectation four years out.,Slot baseline = the 3-pick window around it + a 4th outer pick (from 1.05 on); 1.01–1.04 use the pooled mean.
